Year,"Country of origin","Country of asylum",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2016,Ethiopia,Hungary,G,FA,P,5,0,10,36,51
2016,"Cote d'Ivoire",Hungary,G,FA,P,0,0,10,26,36
2015,Mali,Hungary,G,FA,P,0,0,10,252,262
2017,Armenia,Hungary,G,FI,P,0,0,10,17,27
2020,"Syrian Arab Rep.",Hungary,G,FI,P,0,0,10,10,20
2016,Congo,Hungary,G,FA,P,0,0,10,80,90
2014,"Sierra Leone",Hungary,G,FI,P,0,0,10,39,49
2017,Bangladesh,Hungary,G,FI,P,0,0,10,12,22
2014,Comoros,Hungary,G,FI,P,0,0,10,65,75
2020,Morocco,Iceland,G,FI,P,0,0,10,0,10
2021,Albania,Iceland,G,FI,P,0,0,10,0,10
2024,Colombia,Iceland,G,FI,P,5,0,10,0,15
2022,"North Macedonia",Iceland,G,AR,P,0,0,10,0,10
2020,Ukraine,Iceland,G,AR,P,0,0,10,0,10
2022,Somalia,Iceland,G,FI,P,19,12,10,21,62
2019,Colombia,Iceland,G,FI,P,0,0,10,0,10
2020,Somalia,Iceland,G,FI,P,22,16,10,10,58
2022,"Bosnia and Herzegovina",Iceland,G,AR,P,0,0,10,0,10
2024,Chile,Iceland,G,FI,P,0,0,10,0,10
2024,Türkiye,Iceland,G,FI,P,0,0,10,0,10
2024,Iraq,Iceland,G,FI,P,0,0,10,0,10
2018,Pakistan,Iceland,G,AR,P,0,0,10,17,27
2020,Morocco,Iceland,G,AR,P,0,0,10,0,10
2024,Peru,Iceland,G,FI,P,0,0,10,0,10
2022,Albania,Iceland,G,AR,P,0,0,10,0,10
2022,Ukraine,Iceland,G,AR,P,0,0,10,0,10
2020,Albania,Iceland,G,FI,P,0,0,10,5,15
2020,Colombia,Iceland,G,AR,P,0,0,10,0,10
2014,Albania,Iceland,G,FI,P,0,0,10,0,10
2019,Togo,"Cote d'Ivoire",G,FA,P,0,0,10,0,10
2020,"Dem. Rep. of the Congo","Cote d'Ivoire",G,FA,P,0,0,10,0,10
2019,Iraq,India,U,FI,P,16,0,10,35,61
2017,Nigeria,India,U,AR,P,0,0,10,0,10
2015,"Dem. Rep. of the Congo",India,U,FI,P,0,0,10,11,21
2023,Ghana,India,U,FI,P,0,0,10,46,56
2024,"Dem. Rep. of the Congo",India,U,AR,P,0,0,10,0,10
2016,Nigeria,India,U,FI,P,0,0,10,40,50
2020,Ethiopia,India,U,FI,P,0,0,10,0,10
2024,Ghana,India,U,FI,P,0,0,10,0,10
2018,"Dem. Rep. of the Congo",India,U,FI,P,0,0,10,11,21
2015,"Dem. Rep. of the Congo",India,U,AR,P,0,0,10,0,10
2016,Cameroon,India,U,FI,P,0,0,10,5,15
2015,Uganda,India,U,FI,P,0,0,10,0,10
2021,"Cote d'Ivoire",India,U,FI,P,0,0,10,0,10
2020,Iraq,India,U,FI,P,0,0,10,5,15
2024,Senegal,India,U,FI,P,0,0,10,0,10
2014,Pakistan,Indonesia,U,FI,P,125,0,10,352,487
2021,"Sri Lanka",Indonesia,U,FI,P,0,0,10,5,15
2017,Somalia,Indonesia,U,FI,P,452,0,10,117,579
2014,Sudan,Indonesia,U,FI,P,103,0,10,87,200
2018,Ethiopia,Indonesia,U,AR,P,5,0,10,23,38
2016,Pakistan,Indonesia,U,FI,P,62,0,10,10,82
2016,Afghanistan,Indonesia,U,AR,P,83,0,10,0,93
2018,Bangladesh,Indonesia,U,FI,P,0,0,10,5,15
2019,"Iran (Islamic Rep. of)",Indonesia,U,AR,P,29,0,10,12,51
2019,Sudan,Indonesia,U,FI,P,5,0,10,20,35
2015,Pakistan,Indonesia,U,FI,P,138,0,10,15,163
2019,Cameroon,Indonesia,U,AR,P,0,0,10,0,10
2017,Egypt,Indonesia,U,FI,P,0,0,10,5,15
2015,Sudan,Indonesia,U,FI,P,52,0,10,20,82
2017,Bangladesh,Indonesia,U,FI,P,0,0,10,45,55
2014,Albania,Ireland,G,AR,P,0,0,10,0,10
2014,Albania,Ireland,G,SP,P,0,0,10,28,38
2015,Ukraine,Ireland,G,SP,P,0,0,10,5,15
2018,Angola,Ireland,G,FI,P,0,0,10,0,10
2021,"Iran (Islamic Rep. of)",Ireland,G,FI,P,13,0,10,5,28
2015,Afghanistan,Ireland,G,SP,P,44,0,10,15,69
2024,"Serbia and Kosovo: S/RES/1244 (1999)",Ireland,G,AR,P,0,0,10,0,10
2016,"China, Hong Kong SAR",Ireland,G,SP,P,0,0,10,5,15
2019,"Venezuela (Bolivarian Republic of)",Ireland,G,FI,P,34,5,10,0,49
2016,"Cote d'Ivoire",Ireland,G,SP,P,0,0,10,0,10
2023,Cameroon,Ireland,G,FI,P,5,0,10,0,15
2022,Cameroon,Ireland,G,FI,P,18,0,10,0,28
2015,Egypt,Ireland,G,SP,P,0,0,10,0,10
2024,Eswatini,Ireland,G,FI,P,14,0,10,0,24
2014,Congo,Ireland,G,SP,P,0,0,10,14,24
2014,Ukraine,Ireland,G,SP,P,0,0,10,15,25
2018,Afghanistan,Ireland,G,FI,P,37,64,10,19,130
2023,"Dem. Rep. of the Congo",Ireland,G,AR,P,20,0,10,0,30
2018,Nepal,Ireland,G,AR,P,0,0,10,0,10
2015,Sudan,Ireland,G,SP,P,5,0,10,20,35
2017,Bangladesh,Ireland,G,AR,P,0,0,10,0,10
2014,Iraq,Ireland,G,FI,P,11,0,10,5,26
2020,Botswana,Ireland,G,FI,P,0,0,10,0,10
2022,"Viet Nam",Ireland,G,FI,P,5,0,10,10,25
2024,Tunisia,Ireland,G,FI,P,5,0,10,0,15
2018,"Sierra Leone",Ireland,G,FI,P,0,5,10,0,15
2024,"Iran (Islamic Rep. of)",Ireland,G,FI,P,14,5,10,0,29
2015,Afghanistan,Ireland,G,FI,P,5,0,10,30,45
2023,China,Ireland,G,FI,P,0,0,10,21,31
2024,"Serbia and Kosovo: S/RES/1244 (1999)",Ireland,G,FI,P,0,0,10,0,10
2014,Kenya,Ireland,G,SP,P,0,0,10,21,31
2021,"Bolivia (Plurinational State of)",Ireland,G,FI,P,5,0,10,5,20
2021,Togo,Ireland,G,FI,P,0,0,10,0,10
2017,"Venezuela (Bolivarian Republic of)",Ireland,G,AR,P,0,0,10,0,10
2015,Somalia,Ireland,G,SP,P,12,0,10,15,37
2021,"Serbia and Kosovo: S/RES/1244 (1999)",Ireland,G,FI,P,0,0,10,0,10
2019,Cameroon,Ireland,G,AR,P,5,0,10,0,15
2014,Morocco,Ireland,G,SP,P,0,0,10,5,15
2023,Uganda,Ireland,G,FI,P,17,0,10,0,27
2014,Sudan,Ireland,G,SP,P,29,0,10,61,100
2015,India,Ireland,G,FI,P,0,0,10,19,29
2019,Mauritius,Ireland,G,AR,P,0,0,10,0,10
2014,"Iran (Islamic Rep. of)",Ireland,G,SP,P,12,0,10,26,48
2020,"Venezuela (Bolivarian Republic of)",Ireland,G,FI,P,35,5,10,0,50
2022,Somalia,Ireland,G,FI,P,187,10,10,58,265
2021,Cameroon,Ireland,G,FI,P,5,5,10,0,20
2021,Nepal,Ireland,G,FI,P,0,0,10,0,10
2015,Nepal,Ireland,G,SP,P,0,0,10,5,15
2020,Ghana,Ireland,G,AR,P,0,0,10,0,10
2022,Morocco,Ireland,G,AR,P,0,0,10,0,10
2017,"South Sudan",Iraq,U,FI,P,5,0,10,155,170
2017,China,Israel,G,FA,P,0,0,10,10,20
2018,Türkiye,Israel,G,FA,P,0,0,10,19,29
2018,"South Africa",Israel,G,FA,P,0,0,10,17,27
2024,Albania,Israel,G,FA,P,0,0,10,0,10
2022,Belarus,Israel,G,FA,P,0,0,10,84,94
2018,Sudan,Israel,G,FA,P,0,485,10,77,572
2020,Thailand,Israel,G,FA,P,0,0,10,0,10
2022,Kyrgyzstan,Israel,G,FA,P,0,0,10,10,20
2023,Romania,Israel,G,FA,P,0,0,10,11,21
2019,Romania,Israel,G,FA,P,0,0,10,15,25
2019,"South Africa",Israel,G,FA,P,0,0,10,33,43
2017,Nicaragua,Italy,G,FI,P,0,5,10,0,15
2020,Guatemala,Italy,G,FI,P,5,5,10,0,20
2020,Angola,Italy,G,FI,P,0,0,10,0,10
2019,Madagascar,Italy,G,FI,P,0,0,10,0,10
2021,"Dem. Rep. of the Congo",Italy,G,FI,P,25,36,10,0,71
2015,Ecuador,Italy,G,FI,P,0,0,10,0,10
2016,Armenia,Italy,G,FI,P,10,22,10,0,42
2022,Chile,Italy,G,FI,P,5,0,10,0,15
2021,Paraguay,Italy,G,FI,P,0,0,10,0,10
2015,Philippines,Italy,G,FI,P,0,0,10,0,10
2015,"Central African Rep.",Italy,G,FI,P,17,12,10,0,39
2016,Palestinian,Italy,G,FI,P,64,38,10,0,112
2022,Uruguay,Italy,G,FI,P,0,0,10,0,10
2022,Paraguay,Italy,G,FI,P,0,0,10,0,10
2014,Colombia,Italy,G,FI,P,32,42,10,0,84
2023,Chad,Italy,G,FI,P,10,0,10,5,25
2016,Nepal,Italy,G,FI,P,0,21,10,0,31
2021,Belarus,Italy,G,FI,P,26,20,10,0,56
2015,Colombia,Italy,G,FI,P,16,43,10,0,69
2018,Honduras,Italy,G,FI,P,19,54,10,0,83
2023,Mauritania,Italy,G,FI,P,0,0,10,5,15
2014,Libya,Italy,G,FI,P,5,31,10,0,46
2019,Gabon,Italy,G,FI,P,0,0,10,0,10
2023,Mexico,Italy,G,FI,P,0,0,10,0,10
2020,Lebanon,Italy,G,FI,P,5,5,10,0,20
2020,Palestinian,Italy,G,FI,P,28,5,10,0,43
2022,"United Rep. of Tanzania",Italy,G,FI,P,0,0,10,0,10
2022,"United States of America",Italy,G,FI,P,0,0,10,0,10
2024,Niger,Italy,G,FI,P,0,11,10,5,26
2018,Egypt,Jordan,U,FI,P,15,0,10,0,25
2014,Sudan,Jordan,U,AR,P,20,0,10,0,30
2015,Sudan,Jordan,U,AR,P,29,0,10,0,39
2017,Sudan,Jordan,U,FI,P,269,0,10,0,279
2014,Yemen,Jordan,U,FI,P,16,0,10,0,26
2017,"Dem. Rep. of the Congo",Japan,G,AR,P,0,0,10,0,10
2014,Mali,Japan,G,FI,P,0,0,10,0,10
2014,Peru,Japan,G,FI,P,0,0,10,0,10
2017,Peru,Japan,G,AR,P,0,0,10,0,10
2014,"Unknown ",Japan,G,JR,P,0,0,10,0,10
2014,Guinea,Japan,G,FI,P,0,0,10,0,10
2017,Cambodia,Japan,G,AR,P,0,0,10,21,31
2024,"Russian Federation",Kazakhstan,G,FI,P,0,0,10,0,10
2017,Türkiye,Kazakhstan,G,FI,P,0,0,10,5,15
2021,"Syrian Arab Rep.",Kazakhstan,G,AR,P,0,0,10,0,10
2015,"Syrian Arab Rep.",Kazakhstan,G,FI,P,5,0,10,0,15
2022,"Russian Federation",Kazakhstan,G,FI,P,0,0,10,0,10
2023,Afghanistan,Kazakhstan,G,JR,P,0,0,10,30,40
2024,"Russian Federation",Kazakhstan,G,AR,P,0,0,10,0,10
2015,"South Sudan",Kenya,J,AR,P,5,0,10,49,64
2014,Somalia,Kenya,U,FI,P,27,0,10,5173,5210
2016,Uganda,Kenya,J,FI,P,81,14,10,490,595
2014,Uganda,Kenya,U,FI,P,38,0,10,654,702
2015,Ethiopia,Kenya,J,AR,P,114,0,10,139,263
2014,Mozambique,Kenya,J,FI,P,0,0,10,0,10
2016,Libya,"Rep. of Korea",G,FA,P,0,0,10,0,10
2021,"Iran (Islamic Rep. of)","Rep. of Korea",G,FA,P,0,0,10,5,15
2014,Guinea,"Rep. of Korea",G,FA,P,0,0,10,5,15
2021,"Burkina Faso","Rep. of Korea",G,FA,P,0,0,10,0,10
2021,Iraq,"Rep. of Korea",G,FA,P,0,0,10,5,15
2021,Guinea-Bissau,"Rep. of Korea",G,FA,P,0,0,10,0,10
2023,Rwanda,"Rep. of Korea",G,FI,P,0,0,10,5,15
2024,Uganda,"Rep. of Korea",G,AR,P,0,0,10,0,10
2023,Uganda,"Rep. of Korea",G,AR,P,0,0,10,0,10
2021,Cambodia,"Rep. of Korea",G,FA,P,0,0,10,10,20
2022,Afghanistan,"Rep. of Korea",G,FI,C,5,13,10,0,28
2015,"Cote d'Ivoire","Rep. of Korea",G,FA,P,0,0,10,0,10
2020,Indonesia,"Rep. of Korea",G,FA,P,0,0,10,16,26
2016,Afghanistan,"Rep. of Korea",G,FA,P,0,0,10,10,20
2016,Indonesia,"Rep. of Korea",G,FA,P,0,0,10,0,10
2022,"United Rep. of Tanzania","Rep. of Korea",G,AR,C,0,0,10,0,10
2016,"Dem. Rep. of the Congo","Rep. of Korea",G,FA,P,0,0,10,0,10
2014,"Syrian Arab Rep.","Rep. of Korea",G,FA,P,0,502,10,61,573
2018,"Iran (Islamic Rep. of)","Rep. of Korea",G,FA,P,5,0,10,10,25
2018,"Syrian Arab Rep.","Rep. of Korea",G,FA,P,0,53,10,10,73
2022,Cambodia,"Rep. of Korea",G,FI,C,0,0,10,26,36
2017,"Iran (Islamic Rep. of)","Rep. of Korea",G,FA,P,10,0,10,0,20
2018,Angola,"Rep. of Korea",G,FA,P,0,0,10,0,10
2023,Yemen,"Rep. of Korea",G,FI,P,0,16,10,0,26
2021,Yemen,"Rep. of Korea",G,FA,P,0,16,10,5,31
2024,"Dem. Rep. of the Congo","Rep. of Korea",G,FI,P,0,0,10,0,10
2023,Afghanistan,"Rep. of Korea",G,FI,P,12,11,10,0,33
2019,Kenya,"Rep. of Korea",G,FA,P,0,0,10,5,15
2019,Yemen,"Rep. of Korea",G,FA,P,5,195,10,13,223
2024,"South Africa","Rep. of Korea",G,AR,P,0,0,10,0,10
2017,Türkiye,"Rep. of Korea",G,FA,P,0,0,10,0,10
2023,Angola,"Rep. of Korea",G,FI,P,0,0,10,0,10
2015,"Russian Federation","Rep. of Korea",G,FA,P,0,0,10,0,10
2023,"Cote d'Ivoire","Rep. of Korea",G,FI,P,0,0,10,0,10
2014,Afghanistan,"Rep. of Korea",G,FA,P,0,5,10,10,25
2020,"Burkina Faso","Rep. of Korea",G,FA,P,0,0,10,0,10
2023,Gambia,"Rep. of Korea",G,AR,P,0,0,10,0,10
2016,"Iran (Islamic Rep. of)",Kuwait,U,FI,P,0,0,10,0,10
2021,Eritrea,Libya,U,FI,P,161,0,10,2717,2888
2018,Sudan,Libya,U,FI,P,373,0,10,146,529
2017,"Iran (Islamic Rep. of)",Lebanon,U,FI,P,0,0,10,10,20
2023,"Iran (Islamic Rep. of)",Lebanon,U,AR,P,0,0,10,0,10
2017,Iraq,Lebanon,U,FI,P,149,0,10,15,174
2014,Ethiopia,Lebanon,U,AR,P,0,0,10,0,10
2019,Congo,Lebanon,U,FI,P,0,0,10,0,10
2015,Egypt,Lebanon,U,AR,P,0,0,10,0,10
2014,"Iran (Islamic Rep. of)",Lebanon,U,AR,P,0,0,10,0,10
2021,Sudan,Lebanon,U,FI,P,120,0,10,104,234
2020,Madagascar,Lebanon,U,FI,P,0,0,10,0,10
2018,Egypt,Lebanon,U,AR,P,0,0,10,0,10
2015,Nigeria,Lebanon,U,FI,P,0,0,10,0,10
2019,Kenya,Lebanon,U,FI,P,0,0,10,10,20
2023,Bangladesh,Lebanon,U,AR,P,0,0,10,0,10
2022,Nigeria,Lebanon,U,FI,P,0,0,10,17,27
2020,Bangladesh,Lebanon,U,FI,P,0,0,10,14,24
2021,Ethiopia,Lebanon,U,FI,P,14,0,10,44,68
2024,Egypt,Lebanon,U,AR,P,0,0,10,0,10
2017,"Serbia and Kosovo: S/RES/1244 (1999)",Liechtenstein,G,FI,P,0,0,10,20,30
2016,"North Macedonia",Liechtenstein,G,FI,P,0,0,10,0,10
2018,Pakistan,"Sri Lanka",U,FI,P,204,0,10,12,226
2019,Pakistan,"Sri Lanka",U,FI,P,549,0,10,66,625
2023,Nigeria,Lithuania,G,FI,P,0,0,10,5,15
2015,India,Lithuania,G,FI,P,0,0,10,0,10
2023,Tajikistan,Lithuania,G,FI,P,20,0,10,16,46
2020,Belarus,Lithuania,G,FI,P,0,0,10,19,29
2022,"Iran (Islamic Rep. of)",Lithuania,G,FI,P,0,0,10,12,22
2017,Iraq,Lithuania,G,FI,P,13,0,10,0,23
2017,Cuba,Lithuania,G,FI,P,0,0,10,0,10
2021,Belarus,Lithuania,G,FI,P,0,0,10,19,29
2018,Armenia,Lithuania,G,FI,P,0,0,10,11,21
2022,Sudan,Lithuania,G,FI,P,0,0,10,0,10
2024,"Unknown ",Lithuania,G,FI,P,0,0,10,30,40
2015,Niger,Luxembourg,G,AR,P,0,0,10,0,10
2014,Algeria,Luxembourg,G,FI,P,0,0,10,36,46
2021,"Iran (Islamic Rep. of)",Luxembourg,G,FI,P,15,0,10,0,25
2017,Nigeria,Luxembourg,G,FI,P,0,0,10,0,10
2016,Azerbaijan,Luxembourg,G,AR,P,0,0,10,0,10
2016,Ukraine,Luxembourg,G,FI,P,0,0,10,0,10
2021,Tunisia,Luxembourg,G,FI,P,0,0,10,0,10
2019,Ethiopia,Luxembourg,G,FI,P,5,0,10,0,15
2019,"Cote d'Ivoire",Luxembourg,G,FI,P,0,0,10,0,10
2023,"Unknown ",Luxembourg,G,FI,P,0,0,10,0,10
2018,Morocco,Luxembourg,G,AR,P,0,0,10,0,10
2022,Albania,Luxembourg,G,FI,P,0,11,10,0,21
2023,Ethiopia,Luxembourg,G,FI,P,10,0,10,0,20
2020,Senegal,Luxembourg,G,FI,P,0,0,10,0,10
2015,Türkiye,Luxembourg,G,JR,P,10,0,10,0,20
2020,"Venezuela (Bolivarian Republic of)",Luxembourg,G,FI,P,0,13,10,0,23
2019,"Russian Federation",Luxembourg,G,FI,P,0,0,10,0,10
2023,Somalia,Luxembourg,G,RA,P,0,0,10,0,10
2014,Nigeria,Luxembourg,G,AR,P,0,0,10,5,15
2014,Nigeria,Luxembourg,G,JR,P,0,0,10,0,10
2020,Algeria,Luxembourg,G,AR,P,0,0,10,0,10
2017,Ukraine,Luxembourg,G,FI,P,0,0,10,0,10
2018,Nigeria,Luxembourg,G,FI,P,0,0,10,0,10
2021,"Dem. Rep. of the Congo",Luxembourg,G,FI,P,0,0,10,0,10
2023,Georgia,Luxembourg,G,FI,P,0,0,10,0,10
2023,Tunisia,Luxembourg,G,FI,P,0,0,10,0,10
2019,"North Macedonia",Luxembourg,G,FI,P,0,0,10,0,10
2018,"North Macedonia",Luxembourg,G,AR,P,0,0,10,0,10
2018,Eritrea,Luxembourg,G,FI,P,305,5,10,0,320
2021,"Serbia and Kosovo: S/RES/1244 (1999)",Luxembourg,G,FI,P,0,0,10,0,10
2016,Nigeria,Luxembourg,G,FI,P,5,0,10,24,39
2022,Guinea,Luxembourg,G,FI,P,0,24,10,15,49
2019,Cameroon,Luxembourg,G,FI,P,0,0,10,0,10
2021,Algeria,Luxembourg,G,FI,P,0,0,10,0,10
2024,Colombia,Luxembourg,G,FI,P,0,0,10,0,10
2019,Montenegro,Luxembourg,G,FI,P,0,0,10,0,10
2019,Benin,Luxembourg,G,FI,P,0,0,10,0,10
2018,Ethiopia,Luxembourg,G,FI,P,20,0,10,0,30
2017,Tunisia,Luxembourg,G,FI,P,0,0,10,0,10
2017,Türkiye,Luxembourg,G,FI,P,0,0,10,0,10
2023,"Dem. Rep. of the Congo",Luxembourg,G,FI,P,0,0,10,0,10
2022,Somalia,Luxembourg,G,FI,P,11,0,10,5,26
2020,Georgia,Luxembourg,G,AR,P,0,0,10,0,10
2021,"Cote d'Ivoire",Luxembourg,G,FI,P,0,0,10,0,10
2021,Cameroon,Luxembourg,G,FI,P,0,0,10,0,10
2015,Azerbaijan,Luxembourg,G,FI,P,0,0,10,0,10
2016,Tunisia,Luxembourg,G,FI,P,0,0,10,25,35
2020,Albania,Luxembourg,G,AR,P,0,0,10,0,10
2016,Morocco,Luxembourg,G,FI,P,0,0,10,11,21
2018,Iraq,Latvia,G,FI,P,0,0,10,5,15
2016,India,Latvia,G,FI,P,0,0,10,10,20
2021,"Russian Federation",Latvia,G,FI,P,0,0,10,14,24
2019,Egypt,Latvia,G,FI,P,0,0,10,0,10
2019,Nigeria,Latvia,G,FI,P,0,0,10,0,10
2023,Azerbaijan,Latvia,G,FI,P,0,0,10,15,25
2022,Azerbaijan,Latvia,G,FI,P,0,0,10,5,15
2016,Ukraine,Latvia,G,FI,P,0,0,10,0,10
2024,Senegal,Latvia,G,FI,P,0,0,10,5,15
2020,Mali,Mauritania,U,AR,P,0,0,10,0,10
2015,Guinea,Mauritania,U,FA,P,0,0,10,0,10
2016,Senegal,Mauritania,U,FI,P,17,0,10,10,37
2018,Mali,Mauritania,U,FI,P,0,0,10,14,24
2022,Guinea,Mauritania,U,AR,P,0,0,10,0,10
2017,Guinea,Mauritania,U,FI,P,0,0,10,5,15
2016,Cameroon,Mauritania,U,FI,P,0,0,10,15,25
2023,Guinea,Mauritania,U,FI,P,5,0,10,74,89
2017,"Cote d'Ivoire",Mauritania,U,FI,P,10,0,10,0,20
2023,Mali,Mauritania,U,FI,P,2208,0,10,556,2774
2021,Cameroon,Mauritania,U,FI,P,5,0,10,47,62
2021,Senegal,Mauritania,U,AR,P,5,0,10,0,15
2021,Nigeria,Mauritania,U,FI,P,0,0,10,41,51
2022,Guinea,Mauritania,U,FI,P,0,0,10,39,49
2017,Cameroon,Mauritania,U,FI,P,0,0,10,0,10
2021,Cameroon,Mauritania,U,AR,P,0,0,10,0,10
2020,Togo,Mauritania,U,FI,P,0,0,10,23,33
2022,"Russian Federation","North Macedonia",G,FA,P,0,0,10,0,10
2024,Cameroon,"Rep. of Moldova",G,FI,P,0,0,10,0,10
2017,Ukraine,"Rep. of Moldova",G,JR,P,0,0,10,0,10
2019,Azerbaijan,"Rep. of Moldova",G,FI,P,0,0,10,0,10
2024,Morocco,"Rep. of Moldova",G,FI,P,0,0,10,5,15
2023,Belarus,"Rep. of Moldova",G,FI,P,0,0,10,0,10
2021,Armenia,"Rep. of Moldova",G,JR,P,0,0,10,0,10
2016,"Sri Lanka","Rep. of Moldova",G,JR,P,0,0,10,0,10
2019,Türkiye,"Rep. of Moldova",G,JR,P,0,0,10,0,10
2023,"Costa Rica",Mexico,G,FI,P,5,0,10,27,42
2024,"Russian Federation",Mexico,G,FI,P,16,0,10,5,31
2023,Angola,Mexico,G,FI,P,0,0,10,46,56
2023,Panama,Mexico,G,FI,P,0,0,10,25,35
2021,Uruguay,Mexico,G,FI,P,13,0,10,16,39
2022,"Costa Rica",Mexico,G,FI,P,10,0,10,27,47
2018,Haiti,Mexico,G,FI,P,0,0,10,59,69
2022,Panama,Mexico,G,FI,P,12,0,10,67,89
2024,"Iran (Islamic Rep. of)",Malaysia,U,FI,P,16,0,10,0,26
2015,Bangladesh,Malaysia,U,FI,P,0,0,10,0,10
2021,Somalia,Malaysia,U,FI,P,444,0,10,0,454
2014,Sudan,Malaysia,U,AR,P,0,0,10,0,10
2020,"Sri Lanka",Malaysia,U,AR,P,0,0,10,66,76
2020,Somalia,Malaysia,U,AR,P,71,0,10,0,81
2019,Nigeria,Malaysia,U,FI,P,0,0,10,0,10
2019,Afghanistan,Malaysia,U,AR,P,65,0,10,0,75
2018,Uganda,Malaysia,U,FI,P,0,0,10,0,10
2014,Palestinian,Malaysia,U,FI,P,58,0,10,19,87
2020,"Sri Lanka",Malaysia,U,FI,P,15,0,10,56,81
2021,Myanmar,Malaysia,U,AR,P,91,0,10,0,101
2017,Liberia,Malaysia,U,FI,P,0,0,10,0,10
2024,Egypt,Malaysia,U,FI,P,0,0,10,0,10
2018,Nigeria,Morocco,U,AR,P,0,0,10,10,20
2016,Sudan,Morocco,U,FI,P,0,0,10,0,10
2016,Senegal,Morocco,U,FI,P,11,0,10,23,44
2014,Sudan,Morocco,U,FI,P,0,0,10,58,68
2022,Congo,Morocco,U,FI,P,0,0,10,16,26
2018,Liberia,Morocco,U,FI,P,0,0,10,24,34
2020,"Sierra Leone",Morocco,U,FI,P,0,0,10,0,10
2020,"Dem. Rep. of the Congo",Morocco,U,AR,P,0,0,10,11,21
2014,Ghana,Morocco,U,FI,P,0,0,10,35,45
2016,Liberia,Morocco,U,FI,P,0,0,10,19,29
2022,"Central African Rep.",Morocco,U,FI,P,22,0,10,0,32
2022,Chad,Morocco,U,FI,P,5,0,10,25,40
2018,"Sierra Leone",Morocco,U,FI,P,0,0,10,37,47
2019,Senegal,Morocco,U,AR,P,0,0,10,0,10
2015,"Sierra Leone",Morocco,U,FI,P,0,0,10,0,10
2014,Mali,Morocco,U,FI,P,0,0,10,373,383
2019,"Sierra Leone",Morocco,U,FI,P,0,0,10,25,35
2022,Guinea-Bissau,Morocco,U,FI,P,0,0,10,10,20
2018,Togo,Morocco,U,FI,P,0,0,10,0,10
2023,Congo,Morocco,U,FI,P,5,0,10,12,27
2019,"Dem. Rep. of the Congo",Morocco,U,AR,P,0,0,10,10,20
2022,Liberia,Morocco,U,FI,P,0,0,10,26,36
2020,Mali,Malta,G,FI,P,0,0,10,36,46
2019,Nigeria,Malta,G,AR,P,0,0,10,12,22
2022,"South Sudan",Malta,G,FI,P,0,0,10,36,46
2015,Guinea,Malta,G,AR,P,0,0,10,0,10
2015,"Venezuela (Bolivarian Republic of)",Malta,G,FI,P,0,0,10,0,10
2022,Niger,Malta,G,FI,P,0,0,10,0,10
2015,Eritrea,Malta,G,AR,P,0,0,10,0,10
2015,Somalia,Malta,G,AR,P,0,0,10,0,10
2022,"Syrian Arab Rep.",Malta,G,FI,P,0,69,10,215,294
2015,Egypt,Malta,G,FI,P,0,13,10,5,28
2023,Ethiopia,Malta,G,FI,P,0,0,10,10,20
2022,"Sierra Leone",Malta,G,FI,P,0,0,10,13,23
2023,"Cote d'Ivoire",Malta,G,FI,P,0,0,10,10,20
2021,Cameroon,Malta,G,FI,P,0,0,10,22,32
2022,Palestinian,Malta,G,FI,P,0,0,10,12,22
2021,Senegal,Malta,G,AR,P,0,0,10,0,10
2021,"Syrian Arab Rep.",Malta,G,AR,P,0,0,10,30,40
2016,Libya,Malta,G,FI,P,92,485,10,87,674
2018,Iraq,Malta,G,FI,P,5,0,10,29,44
2019,Nigeria,Malta,G,FI,P,0,0,10,103,113
2020,Egypt,Malta,G,FI,P,0,0,10,11,21
2021,Algeria,Malta,G,FI,P,0,0,10,5,15
2024,Colombia,Malta,G,FI,P,0,0,10,0,10
2020,Ukraine,Malta,G,FI,P,0,0,10,11,21
2017,Eritrea,Malta,G,FI,P,5,90,10,39,144
2014,Sudan,Malta,G,FI,P,5,60,10,36,111
2021,Chad,Malta,G,FI,P,0,0,10,29,39
2016,Somalia,Malta,G,FI,P,10,83,10,5,108
2014,Comoros,Malta,G,FI,P,0,0,10,0,10
2021,Pakistan,Nepal,U,AR,P,0,0,10,0,10
2015,"Sri Lanka",Nepal,U,AR,P,0,0,10,0,10
2015,Afghanistan,Nepal,U,FI,P,61,0,10,26,97
2021,Pakistan,Nepal,U,FI,P,0,0,10,0,10
2018,Georgia,"Netherlands (Kingdom of the)",G,RA,P,0,0,10,0,10
2016,Angola,"Netherlands (Kingdom of the)",G,FI,P,0,0,10,11,21
2016,"Russian Federation","Netherlands (Kingdom of the)",G,RA,P,0,0,10,0,10
2017,"El Salvador","Netherlands (Kingdom of the)",G,FI,P,0,0,10,0,10
2014,Zimbabwe,"Netherlands (Kingdom of the)",G,FI,P,0,0,10,0,10
2015,Senegal,"Netherlands (Kingdom of the)",G,FI,P,0,0,10,0,10
2022,Yemen,"Netherlands (Kingdom of the)",G,FI,P,1226,11,10,29,1276
2024,"Iran (Islamic Rep. of)","Netherlands (Kingdom of the)",G,RA,P,16,5,10,0,31
2016,Suriname,"Netherlands (Kingdom of the)",G,FI,P,0,0,10,0,10
2024,"North Macedonia","Netherlands (Kingdom of the)",G,FI,P,0,0,10,5,15
